#{"t_start": 1786364711.465195, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,episode_shell_outer_m,episode_target_tumble_scale
-37.146179,720,6429.212122,False,True,False,False,False,False,0.48162285714285713,6.371359999999999,0.375
-69.274173,1780,6454.76169,False,True,False,False,False,False,0.48265142857142856,6.37856,0.375
-58.798726,1596,6476.834895,False,True,False,False,False,False,0.4851942857142857,6.3963600000000005,0.375
-59.52604,1483,6498.042332,False,True,False,False,False,False,0.4874742857142857,6.412319999999999,0.375
-45.851472,2000,6527.785742,False,False,True,False,False,False,0.48959285714285716,6.42715,0.375
-34.429489,2000,6557.302521,False,False,True,False,False,False,0.49245,6.44715,0.375
-46.606578,2000,6587.174684,False,False,True,False,False,False,0.49530714285714283,6.46715,0.375
-41.635605,835,6599.720511,False,True,False,False,False,False,0.4981642857142857,6.48715,0.375
-51.320109,1555,6623.566236,False,True,False,False,False,False,0.49935714285714283,6.4955,0.375
-40.525808,841,6636.393813,False,True,False,False,False,False,0.5015785714285714,6.51105,0.375
-61.143881,2000,6666.300619,False,False,True,False,False,False,0.50278,6.5194600000000005,0.375
-55.036777,1265,6685.509173,False,True,False,False,False,False,0.5056371428571429,6.539460000000001,0.375
-61.463353,1836,6712.073549,False,True,False,False,False,False,0.5074442857142857,6.552109999999999,0.375
-49.202678,1136,6730.128739,False,True,False,False,False,False,0.5100671428571428,6.57047,0.375
-32.821223,2000,6761.679487,False,False,True,False,False,False,0.51169,6.581829999999999,0.375
-30.798028,2000,6791.685717,False,False,True,False,False,False,0.5145471428571429,6.60183,0.375
-31.709504,2000,6822.408392,False,False,True,False,False,False,0.5174042857142858,6.621830000000001,0.375
-46.559232,936,6837.585753,False,True,False,False,False,False,0.5202614285714285,6.641830000000001,0.375
-47.811706,2000,6866.277001,False,False,True,False,False,False,0.5215985714285715,6.651190000000001,0.375
-32.514669,2000,6894.085612,False,False,True,False,False,False,0.5244557142857142,6.671189999999999,0.375
-27.9046,2000,6921.994531,False,False,True,False,False,False,0.5273128571428571,6.691190000000001,0.375
-32.50474,2000,6950.133736,False,False,True,False,False,False,0.53017,6.71119,0.375
-23.064612,1385,6969.899295,True,False,False,True,True,True,0.5330271428571428,6.73119,0.375
